Selling Price,Brand,Model,Trim / Edition,Year of Manufacture,Condition,Transmission,Body type,Fuel type,Engine capacity,Mileage
10500000.0,Toyota,Axio,G Grade,2014,Used,Automatic,Saloon,Hybrid,1500.0,145000.0
12250000.0,Honda,CRV,,2012,Used,Automatic,SUV / 4x4,Petrol,1990.0,117000.0
3650000.0,Suzuki,Alto,LXI 800,2015,Used,Manual,Hatchback,Petrol,796.0,129000.0
7200000.0,Toyota,Axio,G Grade,2007,Used,Automatic,Saloon,Petrol,1500.0,300000.0
28500000.0,BMW,530e,M-Sport,2018,Used,Automatic,Saloon,Petrol,2000.0,49000.0
11200000.0,Toyota,Premio,G Superior,2013,Used,Automatic,Saloon,Petrol,1500.0,229990.0
82500000.0,Land Rover,Range Rover,Vogue LWB Autobio,2023,Used,Automatic,SUV / 4x4,Petrol,2000.0,9000.0
10590000.0,Toyota,Premio,G Superior,2013,Used,Automatic,Saloon,Petrol,1500.0,129000.0
20700000.0,Audi,A3,Advance Sedan,2023,Used,Automatic,Saloon,Petrol,990.0,22000.0
8500000.0,Toyota,Allion,260,2007,Used,Automatic,Saloon,Petrol,1500.0,222000.0
11500000.0,Mitsubishi,Outlander,Plug in Hybrid,2014,Used,Automatic,Station wagon,Hybrid,1990.0,153000.0
2800000.0,Micro,Panda,2015,2015,Used,Manual,Saloon,Petrol,1000.0,60600.0
11350000.0,Kia,Sorento,Kia,2012,Used,Automatic,SUV / 4x4,Diesel,2200.0,175000.0
15800000.0,Audi,A3,Advanced Sportsback,2023,Used,Automatic,Hatchback,Petrol,1000.0,35000.0
7290000.0,Ssang Yong,Tivoli,,2015,Used,Automatic,SUV / 4x4,Petrol,1600.0,169000.0
30000000.0,Mercedes Benz,E180,AMG,2019,Used,Tiptronic,Saloon,Petrol,1497.0,27000.0
9500000.0,Toyota,Allion,,2010,Used,Tiptronic,Saloon,Petrol,1500.0,141000.0
14875000.0,Mitsubishi,Montero,sport,2012,Used,Automatic,SUV / 4x4,Diesel,2500.0,105000.0
43500000.0,BMW,740Le,LWB M Sport,2018,Used,Automatic,,Petrol,2000.0,27000.0
2700000.0,Tata,Indica,Xeta,2015,Used,Manual,Hatchback,Petrol,1193.0,155000.0
12600000.0,Honda,Civic,Tech Pack,2018,Used,Automatic,Hatchback,Petrol,1000.0,79000.0
3700000.0,Renault,KWID,RXT,2016,Used,Manual,Hatchback,Petrol,800.0,74000.0
5500000.0,Suzuki,Alto,Japan,2018,Used,Automatic,,Petrol,650.0,74200.0
9900000.0,Toyota,Axio,G Grade,2015,Used,Automatic,Saloon,Hybrid,1500.0,120000.0
9350000.0,Toyota,Axio,G Grade,2014,Used,Automatic,Saloon,Hybrid,1499.0,180000.0
3990000.0,Suzuki,Alto,,2015,Used,Manual,Hatchback,Petrol,800.0,59774.0
7300000.0,Toyota,Axio,141,2007,Used,Automatic,Saloon,Petrol,1500.0,183000.0
3900000.0,Suzuki,Alto,,2015,Used,Manual,Hatchback,Petrol,800.0,50238.0
12700000.0,Audi,A3,Sedan TFSI,2019,Used,Automatic,Saloon,Petrol,1000.0,117000.0
13000000.0,Audi,Q2,,2018,Used,Automatic,,Petrol,1000.0,82000.0
5825000.0,Perodua,Axia,G,2017,Used,Automatic,Hatchback,Petrol,1000.0,102000.0
16850000.0,BMW,318i,"Luxury Line 21,000Km",2017,Used,Automatic,Saloon,Petrol,1500.0,21000.0
2600000.0,Suzuki,Maruti,800,2012,Used,Manual,Hatchback,Petrol,800.0,42000.0
6990000.0,Honda,CRV,Honda,2004,Used,Automatic,SUV / 4x4,Petrol,1999.0,132000.0
36500000.0,BMW,740e,iPerformance,2017,Used,Automatic,Saloon,Petrol,2000.0,35000.0
19500000.0,Audi,A5,,2018,Used,Automatic,Saloon,Petrol,1400.0,69000.0
5425000.0,Suzuki,Celerio,ZXI Auto 1st owner ,2017,Used,Automatic,Hatchback,Petrol,1000.0,78000.0
15600000.0,Mercedes Benz,E200,,2010,Used,Automatic,Saloon,Petrol,1990.0,55000.0
1350000.0,Bajaj,Qute,,2019,Used,Manual,,Petrol,216.0,51000.0
850000.0,Nissan,Sunny,B11,1983,Used,Manual,Saloon,Petrol,1480.0,325000.0
9800000.0,Honda,Vezel,Orange Package,2014,Used,Automatic,SUV / 4x4,Hybrid,1500.0,247000.0
13750000.0,Audi,Q2,TFSI SQ2,2018,Used,Tiptronic,SUV / 4x4,Petrol,1000.0,61000.0
7450000.0,Toyota,Rush,Automatic 4x4 SUV ,2010,Used,Automatic,SUV / 4x4,Petrol,1500.0,156000.0
2700000.0,Maruti Suzuki,Alto,,2011,Used,Manual,Hatchback,Petrol,800.0,201100.0
1550000.0,Peugeot,305,305,1998,Used,Manual,Saloon,Petrol,1400.0,300000.0
7250000.0,Toyota,Vitz,Toyota Vitz,2011,Used,Automatic,Saloon,Petrol,1320.0,113416.0
6490000.0,Toyota,Premio,NZT 240,2002,Used,Automatic,Saloon,Petrol,1800.0,197000.0
9250000.0,DFSK,Glory,,2021,Used,Tiptronic,SUV / 4x4,Petrol,1500.0,80000.0
12500000.0,Mitsubishi,Montero,,2003,Used,Automatic,SUV / 4x4,Petrol,3800.0,129000.0
33500000.0,Toyota,Land Cruiser Prado,Fully loaded,2015,Used,Automatic,SUV / 4x4,Petrol,2700.0,185000.0
12850000.0,Toyota,Land Cruiser Prado,1KZ Fully Loaded,2000,Used,Manual,SUV / 4x4,Diesel,3000.0,154000.0
8750000.0,Nissan,Clipper,Rio Wagon Every ,2023,Used,Automatic,Hatchback,Petrol,650.0,5000.0
11000000.0,Nissan,X-Trail,Hybrid,2016,Used,Automatic,Hatchback,Petrol,1997.0,143973.0
11150000.0,Toyota,Prius,G Touring,2013,Used,Automatic,Saloon,Hybrid,1800.0,131000.0
20500000.0,Audi,Q3,S-Line Vorsprung,2019,Used,Tiptronic,SUV / 4x4,Petrol,1500.0,42000.0
9200000.0,Honda,Grace,EX,2015,Used,Automatic,Saloon,Petrol,1500.0,47500.0
29300000.0,Mercedes Benz,GLB,200 AMG Premium Plus,2020,Used,Automatic,SUV / 4x4,Petrol,1300.0,47000.0
6550000.0,Perodua,Bezza,G GRADE,2018,Used,Automatic,,Petrol,1000.0,58000.0
3650000.0,Nissan,Pulsar,,1999,Used,Automatic,Saloon,Petrol,1500.0,150000.0
6800000.0,Toyota,Vitz,,2015,Used,Automatic,Hatchback,Petrol,1000.0,104000.0
19200000.0,BMW,520d,,2012,Used,Automatic,Saloon,Diesel,2000.0,155000.0
9800000.0,Toyota,Axio,G Grade,2014,Used,Automatic,Saloon,Hybrid,1500.0,56000.0
5475000.0,Perodua,Axia,G,2016,Used,Automatic,Hatchback,Petrol,1000.0,124000.0
41800000.0,Toyota,Land Cruiser Prado,TX Shadow Edition,2016,Used,Automatic,SUV / 4x4,Petrol,2700.0,18400.0
6450000.0,Hyundai,Santa Fe,7 Seater,2007,Used,Automatic,SUV / 4x4,Diesel,2000.0,165000.0
8500000.0,Toyota,Aqua,XURBAN,2015,Used,Automatic,Hatchback,Hybrid,1500.0,47431.0
3975000.0,Micro,Geely,,2017,Used,Automatic,,Petrol,1000.0,60000.0
5650000.0,Suzuki,Wagon R FX,FX,2016,Used,Automatic,Hatchback,Petrol,660.0,80000.0
7900000.0,Subaru,XV,2014,2014,Used,Automatic,,Petrol,2000.0,149000.0
9000000.0,MG,ZS,,2018,Used,Automatic,SUV / 4x4,Petrol,1000.0,60000.0
7600000.0,Toyota,Aqua,,2014,Used,Automatic,Hatchback,Petrol,1500.0,93000.0
10500000.0,Toyota,Prius,Toyota,2015,Used,Automatic,Hatchback,Hybrid,1800.0,167000.0
3990000.0,Suzuki,Liana,Sport,2006,Used,Manual,Saloon,Petrol,1300.0,155000.0
3990000.0,Toyota,Sprinter,,1999,Used,Automatic,Saloon,Petrol,1300.0,179000.0
24700000.0,Toyota,Land Cruiser Prado,150,2012,Used,Manual,,Diesel,2800.0,200000.0
23900000.0,Mercedes Benz,CLA 200,Premium Plus,2019,Used,Automatic,Saloon,Petrol,1322.0,40000.0
5300000.0,Toyota,Vitz,,2007,Used,Automatic,Hatchback,Petrol,1000.0,121000.0
2100000.0,Kia,Spectra,2001,2001,Used,Manual,Saloon,Petrol,1600.0,90000.0
4890000.0,Nissan,Sunny,,2007,Used,Manual,Saloon,Petrol,1300.0,275000.0
27500000.0,Mercedes Benz,CLA 200,,2020,Used,Automatic,Coupé/Sports,Petrol,1332.0,19500.0
19450000.0,Audi,Q3,S-Line 54000km,2019,Used,Tiptronic,SUV / 4x4,Petrol,1500.0,54000.0
8200000.0,Toyota,Allion,Nzt260 (a15) G-Grade,2007,Used,Automatic,Saloon,Petrol,1500.0,180000.0
6750000.0,Honda,Fit,GP1,2013,Used,Automatic,Hatchback,Hybrid,1300.0,64000.0
13500000.0,Audi,A3,,2018,Used,Automatic,Saloon,Petrol,1200.0,160000.0
5600000.0,Daihatsu,Mira,,2017,Used,Automatic,Hatchback,Petrol,660.0,101244.0
3300000.0,Nissan,March,Nissan March K11,2001,Used,Automatic,Hatchback,Petrol,1000.0,165000.0
15900000.0,Peugeot,5008,Allure,2018,Used,Automatic,SUV / 4x4,Petrol,1200.0,67000.0
49500000.0,Land Rover,Range Rover Sport,Autobiography ,2019,Used,Automatic,SUV / 4x4,Petrol,2000.0,55000.0
30000000.0,Mercedes Benz,E300,AMG Coupe,2018,Used,Automatic,Coupé/Sports,Petrol,2000.0,30000.0
39900000.0,Toyota,Land Cruiser Prado,TX150 ELFORD ,2017,Used,Automatic,SUV / 4x4,Petrol,2700.0,75000.0
6500000.0,Nissan,Tiida,,2008,Used,Automatic,Saloon,Petrol,1500.0,73500.0
5250000.0,Suzuki,Swift,Style,2007,Used,Automatic,Hatchback,Petrol,1300.0,140000.0
9590000.0,Honda,Vezel,Orange Pack,2014,Used,Automatic,SUV / 4x4,Hybrid,1490.0,163581.0
4300000.0,Isuzu,D-Max,,1998,Used,Manual,SUV / 4x4,Diesel,2499.0,300000.0
10500000.0,Kia,Sorento,,2011,Used,Automatic,SUV / 4x4,Diesel,2200.0,130000.0
89500000.0,Porsche,Taycan,TURBO 1 OF 2,2024,Used,Automatic,Coupé/Sports,Electric,800.0,5000.0
12500000.0,Audi,Q2,,2017,Used,Tiptronic,,Petrol,1000.0,73000.0
6075000.0,Nissan,Cefiro,J31 Facelift,2007,Used,Automatic,Saloon,Petrol,2400.0,153000.0
8800000.0,Honda,Vezel,2013,2013,Used,Automatic,Station wagon,Hybrid,1499.0,130000.0
20000000.0,Toyota,Land Cruiser Sahara,,2005,Used,Manual,SUV / 4x4,Diesel,4500.0,291000.0
6990000.0,Toyota,Vitz,Vitz,2016,Used,Automatic,Hatchback,Petrol,1000.0,105400.0
3940000.0,Suzuki,Alto,,2008,Used,Automatic,Hatchback,Petrol,650.0,139500.0
6790000.0,Suzuki,Wagon R FZ,,2018,Used,Automatic,Hatchback,Petrol,650.0,92644.0
7500000.0,Toyota,Prius,2nd Gen,2011,Used,Automatic,Saloon,Petrol,1500.0,211000.0
24950000.0,BMW,218i,BMW 218i MSport 2023,2023,Used,Automatic,Saloon,Petrol,1500.0,18500.0
13000000.0,Peugeot,3008,Allure,2018,Used,Tiptronic,SUV / 4x4,Petrol,1200.0,109500.0
23000000.0,Audi,A3,Sline Highest spec,2023,Used,Automatic,Saloon,Petrol,1000.0,10000.0
