Selling Price,Brand,Model,Trim / Edition,Year of Manufacture,Transmission,Body type,Fuel type,Engine capacity,Mileage
12950000.0,Toyota,Premio,G Superior,2015,Automatic,Saloon,Petrol,1500.0,200000.0
8200000.0,Toyota,Aqua,2016,2016,Automatic,Hatchback,Hybrid,1500.0,186500.0
3375000.0,Datsun,Redi Go,Unknown,2016,Manual,Hatchback,Petrol,800.0,115000.0
12250000.0,Honda,Crv,Unknown,2013,Automatic,Unknown,Petrol,1990.0,169000.0
3875000.0,Hyundai,Eon,Magna,2016,Manual,Hatchback,Petrol,800.0,80000.0
56000000.0,Toyota,Land Cruiser Prado,Lc 250,2024,Automatic,Suv / 4X4,Petrol,2777.0,3200.0
6850000.0,Toyota,Vitz,Unknown,2015,Automatic,Hatchback,Petrol,1000.0,160000.0
35500000.0,Toyota,Land Cruiser Prado,Tx - Fully Loaded,2015,Automatic,Suv / 4X4,Petrol,2700.0,85000.0
27850000.0,Honda,Crv,Cr-V Vti Exchange,2024,Automatic,Suv / 4X4,Petrol,1500.0,8400.0
17050000.0,Honda,Crv,Vtil 7 Seater Turbo,2018,Automatic,Suv / 4X4,Petrol,1500.0,112716.0
9900000.0,Suzuki,Vitara,Unknown,2019,Automatic,Suv / 4X4,Petrol,1000.0,89900.0
5775000.0,Toyota,Belta,Unknown,2008,Automatic,Saloon,Petrol,1300.0,165000.0
18790000.0,Mercedes Benz,Cla 180,Benz Cla 180 Amg,2017,Automatic,Saloon,Petrol,1600.0,94500.0
4475000.0,Suzuki,A-Star,Unknown,2012,Automatic,Hatchback,Petrol,1000.0,87000.0
4500000.0,Mercedes Benz,C180,1993,1993,Automatic,Saloon,Petrol,1800.0,120000.0
7900000.0,Dfsk,Glory,580 Higest Spec,2019,Automatic,Suv / 4X4,Petrol,1500.0,69000.0
4175000.0,Hyundai,Eon,Magna Plus,2017,Manual,Hatchback,Petrol,800.0,69000.0
13000000.0,Toyota,Vanguard,Unknown,2012,Tiptronic,Suv / 4X4,Petrol,2400.0,238000.0
1925000.0,Suzuki,Maruti,Maruti,2005,Manual,Hatchback,Petrol,800.0,65321.0
16900000.0,Honda,Crv,Masterpiece,2019,Automatic,Suv / 4X4,Petrol,1500.0,130000.0
11790000.0,Toyota,Hilux,Double Cab Auto,2007,Automatic,Suv / 4X4,Diesel,3000.0,157000.0
